L a u g a s 
- - - - - o 
- - - - - o 
- - o - - - 
- - o - - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - o - - - 
- - - o - - 
- - o - - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
- o - - - - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- o - - - - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - - - - o 
- - - - - o 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - - o 
- - - - - o 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - - o 
- - - - - o 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - - o 
- - - - - o 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - - o 
- - - - - o 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - - o 
- - - - - o 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - - o 
- - - - - o 
- - - - - o 
- - - - - o 
- - - - - o 
- - o - - - 
- - o - - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - o - - - 
- - - o - - 
- - o - - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
- o - - - - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- o - - - - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - - - - o 
- - - - - o 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - - o 
- - - - - o 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - - o 
- - - - - o 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - - o 
- - - - - o 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - - o 
- - - - - o 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - - o 
- - - - - o 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- o - - - - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - o - 
- - - - - o 
- - - - - o 
- - - - - o 
- - - - - o 
- - - - - o 
- - o - - - 
- - o - - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - o - - - 
- - - o - - 
- - o - - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
o - - - - - 
o - - - - - 
o - - - - - 
o - - - - - 
- - - o - - 
- - - o - - 
- o - - - - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- o - - - - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - o - - - 
- - - - o - 
- - - - - o 
